"id","denomination_id","name","family_census","family_arda","family_relec","short_name","year"
467,,"American Catholic Church","Old Catholic Churches in America","Western Liturgical (Catholicism)","Old Catholic","American Catholic Church",1936
468,,"American Ethical Union","American Ethical Union","Liberal","Other Groups","American Ethical Union",1936
469,,"American Holy Orthodox Catholic Apostolic Eastern Church","Eastern Orthodox Churches ","Eastern Liturgical (Orthodox)","Orthodox","American Holy Orthodox Catholic Apostolic Eastern Church",1936
470,,"American Lutheran Church","Lutheran","Lutheran","Lutheran","American Lutheran Church",1936
471,,"American Old Catholic Church (Incorporated)","Old Catholic Churches in America","Western Liturgical (Catholicism)","Old Catholic Churches in America","American Old Catholic Church (Incorporated)",1936
472,,"American Rescue Workers","American Rescue Workers ","Holiness","Holiness","American Rescue Workers",1936
473,,"Apostolic Christian Church","Evangelistic associations","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Anabaptists","Apostolic Christian Church",1936
474,,"Apostolic Christian Church (Nazarean)","Evangelistic associations","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Anabaptists","Apostolic Christian Church (Nazarean)",1936
475,,"Apostolic Episcopal Church (The Holy Eastern Catholic and Apostolic Orthodox Church)","Eastern Orthodox Churches ",,"Eastern Orthodox","Apostolic Episcopal Church (The Holy Eastern Catholic and Apostolic Orthodox Church)",1936
476,,"Apostolic Faith Mission","Evangelistic associations","Pentecostal","Pentecostal","Apostolic Faith Mission",1936
477,,"Apostolic Methodist Church","Methodist",,"Other Groups","Apostolic Methodist Church",1936
478,,"Apostolic Overcoming Holy Church of God","Apostolic Overcoming Holy Church of God","Pentecostal","Pentecostal","Apostolic Overcoming Holy Church of God",1936
479,,"Assemblies of God, General Council","Assemblies of God, General Council","Pentecostal","Pentecostal","Assemblies of God, General Council",1936
480,,"Assyrian Jacobite Apostolic Church","Assyrian Jacobite Apostolic Church","Eastern Liturgical (Orthodox)","Orthodox","Assyrian Jacobite Apostolic Church",1936
481,,"Baha'is","Baha'is","Other Groups","Other Groups","Baha'is",1936
482,,"Bohemian and Moravian Brethren Churches","Moravian","Moravian","Moravian","Bohemian and Moravian Brethren Churches",1936
483,,"Brethren in Christ","Brethren, River","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Pietist","Brethren in Christ",1936
484,,"Buddhist Mission of North America","Buddhist Mission of North America","Other Groups","Buddhist","Buddhist Mission of North America",1936
485,,"Bulgarian Orthodox Church","Eastern Orthodox Churches","Eastern Liturgical (Orthodox)","Orthodox","Bulgarian Orthodox Church",1936
486,,"Calvary Pentecostal Church","Pentecostal","Pentecostal","Pentecostal","Calvary Pentecostal Church",1936
487,,"Catholic Apostolic Church","Catholic Apostolic Church","Other Groups","Catholic","Catholic Apostolic Church",1936
488,,"Central Conference of Mennonites","Mennonite","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite","Central Conference of Mennonites",1936
489,,"Christ's Sanctified Holy Church (Colored)","Christ's Sanctified Holy Church (Colored)","Holiness","Holiness","Christ's Sanctified Holy Church (Colored)",1936
490,,"Christadelphians","Christadelphians","Other Groups","Restorationist","Christadelphians",1936
491,,"Christian Congregation","Evangelistic associations","Restoration","Restorationist","Christian Congregation",1936
492,,"Christian Nation Church","Christian Nation Church","Holiness","Holiness","Christian Nation Church",1936
493,,"Christian Reformed Church","Reformed","Reformed/Presbyterian","Reformed","Christian Reformed Church",1936
494,,"Christian Union","Christian Union","Other Groups","Restorationist","Christian Union",1936
495,,"Christian Unity Baptist Association","Baptist","Baptist","Baptist","Christian Unity Baptist Association",1936
496,,"Church of Armenia in America","Church of Armenia in America","Eastern Liturgical (Orthodox)","Orthodox","Church of Armenia in America",1936
497,,"Church of Christ (Holiness) U.S.A.","Church of Christ (Holiness) U.S.A.","Holiness","Holiness","Church of Christ (Holiness) U.S.A.",1936
498,,"Church of Christ (Temple Lot)","Latter-day Saints","Latter-day Saints","Latter Day Saints","Church of Christ (Temple Lot)",1936
499,,"Church of Christ, Scientist","Church of Christ, Scientist","Christian Science","Christian Science ","Church of Christ, Scientist",1936
500,,"Church of Daniel's Band","Evangelistic associations","Methodist/Pietist","Holiness","Church of Daniel's Band",1936
501,,"Church of Eternal Life","Church of Eternal Life",,"Spiritualist","Church of Eternal Life",1936
502,,"Church of God","Churches of God","?","Pentecostal","Church of God",1936
503,,"Church of God (Adventist)","Adventist","Adventist","Adventist","Church of God (Adventist)",1936
504,,"Church of God (Apostolic)","Evangelistic associations","Pentecostal","Pentecostal","Church of God (Apostolic)",1936
505,,"Church of God (Headquarters, Anderson, Ind.)","Churches of God","Holiness","Holiness","Church of God (Headquarters, Anderson, Ind.)",1936
506,,"Church of God (New Dunkers)","Brethren, German Baptist (Dunkers)","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Anabaptist","Church of God (New Dunkers)",1936
507,,"Church of God (Oregon, Ill.)","Adventist","Adventist","Adventist","Church of God (Oregon, Ill.)",1936
508,,"Church of God (Salem, W. Va.)","Churches of God","Adventist","Adventist","Church of God (Salem, W. Va.)",1936
509,,"Church of God and Saints of Christ","Church of God and Saints of Christ","Other Groups","Other Groups","Church of God and Saints of Christ",1936
510,,"Church of God as Organized by Christ","Evangelistic associations","Other Groups","Other Groups","Church of God as Organized by Christ",1936
511,,"Church of God in Christ","Church of God in Christ","Pentecostal","Pentecostal","Church of God in Christ",1936
512,,"Church of God in Christ (Mennonite)","Mennonite","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite","Church of God in Christ (Mennonite)",1936
513,,"Church of God in Christ (Pentecostal)","Pentecostal","Pentecostal","Pentecostal","Church of God in Christ (Pentecostal)",1936
514,,"Church of Jesus Christ (Bickertonites)","Latter-day Saints","Latter-day Saints","Latter Day Saints","Church of Jesus Christ (Bickertonites)",1936
515,,"Church of Jesus Christ (Cutlerites)","Latter-day Saints","Latter-day Saints","Latter Day Saints","Church of Jesus Christ (Cutlerites)",1936
516,,"Church of Jesus Christ (Strangites)","Latter-day Saints","Latter-day Saints","Latter Day Saints","Church of Jesus Christ (Strangites)",1936
517,,"Church of Jesus Christ (Temple Lot)","Latter-day Saints","Latter-day Saints","Latter Day Saints","Church of Jesus Christ (Temple Lot)",1936
518,,"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter Day Saints","Latter Day Saints","Church of Jesus Christ of Latter-day Saints",1936
519,,"Church of the Brethren (Conservative Dunkers)","Brethren, German Baptist (Dunkers)","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Anabaptists","Church of the Brethren (Conservative Dunkers)",1936
520,,"Church of the Full Gospel, Inc.","Church of the Full Gospel, Inc. ","Pentecostal","Pentecostal","Church of the Full Gospel, Inc.",1936
521,,"Church of the Gospel","Church of the Gospel","Holiness ","Holiness","Church of the Gospel",1936
522,,"Church of the Living God, Christian Workers for Fellowship","Churches of the Living God","Holiness ","Pentecostal","Church of the Living God, Christian Workers for Fellowship",1936
523,,"Church of the Lutheran Brethren of America","Lutheran","Lutheran","Lutheran","Church of the Lutheran Brethren of America",1936
524,,"Church of the Lutheran Brethren of Christ",,,"Lutheran?","Church of the Lutheran Brethren of Christ",1936
525,,"Church of the Nazarene","Church of the Nazarene","Holiness","Holiness","Church of the Nazarene",1936
526,,"Church of the United Brethren in Christ","United Brethren","Methodist/Pietist","United Brethren","Church of the United Brethren in Christ",1936
527,,"Church of the United Brethren in Christ (Old Constitution)","United Brethren","Methodist/Pietist","United Brethren","Church of the United Brethren in Christ (Old Constitution)",1936
528,,"Churches of Christ","Churches of Christ","Restoration","Restorationists","Churches of Christ",1936
529,,"Churches of Christ in Christian Union of Ohio","Churches of Christ in Christian Union of Ohio","?","Holiness","Churches of Christ in Christian Union of Ohio",1936
530,,"Churches of God, Holiness","Churches of God, Holiness","Holiness","Holiness","Churches of God, Holiness",1936
531,,"Colored Cumberland Presbyterian Church","Presbyterian","Reformed/Presbyterian","Presbyterian","Colored Cumberland Presbyterian Church",1936
532,,"Colored Methodist Episcopal Church","Methodist","Methodist/Pietist","Methodist","Colored Methodist Episcopal Church",1936
533,,"Colored Methodist Protestant Church","Methodist","Methodist/Pietist","Methodist","Colored Methodist Protestant Church",1936
534,,"Colored Primitive Baptists","Baptist","Baptist","Baptist","Colored Primitive Baptists",1936
535,,"Conference of the Defenseless Mennonites of North America","Mennonite","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite","Conference of the Defenseless Mennonites of North America",1936
536,,"Congregational and Christian Churches","Congregational and Christian Churches","Reformed/Presbyterian","Congregational","Congregational and Christian Churches",1936
537,,"Congregational Holiness Church","Congregational Holiness Church","Pentecostal","Pentecostal","Congregational Holiness Church",1936
538,,"Congregational Methodist Church","Methodist","Methodist/Pietist","Methodist","Congregational Methodist Church",1936
539,,"Conservative Amish Mennonite Church","Mennonite","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite","Conservative Amish Mennonite Church",1936
540,,"Cumberland Presbyterian Church","Presbyterian","Reformed/Presbyterian","Presbyterian","Cumberland Presbyterian Church",1936
541,,"Danish Evangelical Lutheran Church in America","Lutheran","Lutheran","Lutheran","Danish Evangelical Lutheran Church in America",1936
542,,"Disciples of Christ","Disciples of Christ ","Restoration","Restorationist","Disciples of Christ",1936
543,,"Divine Science Church","Divine Science Church","Christian Science","Christian Science","Divine Science Church",1936
544,,"Duck River and Kindred Association of Baptists (Baptist Church of Christ)","Baptist","Baptist","Baptist","Duck River and Kindred Association of Baptists (Baptist Church of Christ)",1936
545,,"Erieside Church","Erieside Church",,"Other Groups","Erieside Church",1936
546,,"Evangelical and Reformed Church","Evangelical and Reformed Church","Reformed/Presbyterian","Presbyterian","Evangelical and Reformed Church",1936
547,,"Evangelical Church","Evangelical Church","Methodist/Pietist","Methodist","Evangelical Church",1936
548,,"Evangelical Congregational Church","Evangelical Congregational Church","Methodist/Pietist","Methodist","Evangelical Congregational Church",1936
549,,"Evangelical Lutheran Augustana Synod of North America","Lutheran","Lutheran","Lutheran","Evangelical Lutheran Augustana Synod of North America",1936
550,,"Evangelical Lutheran Church of America (Eielsen Synod)","Lutheran","Lutheran","Lutheran","Evangelical Lutheran Church of America (Eielsen Synod)",1936
551,,"Evangelical Lutheran Joint Synod of Wisconsin and Other States","Lutheran","Lutheran","Lutheran","Evangelical Lutheran Joint Synod of Wisconsin and Other States",1936
552,,"Evangelical Mennonite Brethren Conference","Mennonite","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite","Evangelical Mennonite Brethren Conference",1936
553,,"Evangelical Mission Covenant Church of America","Scandinavian Evangelical","Methodist/Pietist","Pietist","Evangelical Mission Covenant Church of America",1936
554,,"Evangelical Unity of Bohemian and Moravian Brethren in North America","Moravian","Moravian","Moravian","Evangelical Unity of Bohemian and Moravian Brethren in North America",1936
555,,"Faith Tabernacle","Faith Tabernacle",,"Pentecostal","Faith Tabernacle",1936
556,,"Federated Churches","Federated Churches","Other Groups","Other Groups","Federated Churches",1936
557,,"Finnish Apostolic Lutheran Church of America","Lutheran","Lutheran","Lutheran","Finnish Apostolic Lutheran Church of America",1936
558,,"Finnish Evangelical Lutheran Church of America, or Suomi Synod","Lutheran","Lutheran","Lutheran","Finnish Evangelical Lutheran Church of America, or Suomi Synod",1936
559,,"Finnish Evangelical Lutheran National Church of America","Lutheran","Lutheran","Lutheran","Finnish Evangelical Lutheran National Church of America",1936
560,,"Fire Baptized Holiness Church of God of the Americas","Fire Baptized Holiness Church of God of the Americas","Holiness","Pentecostal","Fire Baptized Holiness Church of God of the Americas",1936
561,,"Free Christian Zion Church of Christ","Free Christian Zion Church of Christ","Methodist/Pietist","Methodist","Free Christian Zion Church of Christ",1936
562,,"Free Magyar Reformed Church in America","Reformed","Reformed/Presbyterian","Reformed","Free Magyar Reformed Church in America",1936
563,,"Free Methodist Church of North America","Methodist","Methodist/Pietist","Methodist","Free Methodist Church of North America",1936
564,,"Free Will Baptists","Baptist","Baptist","Baptist","Free Will Baptists",1936
565,,"Friends (Primitive)","Friends ","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Friends","Friends (Primitive)",1936
566,,"General Assembly of Spiritualists","Spiritualists","Spiritualist","Spiritualist","General Assembly of Spiritualists",1936
567,,"General Association of Regular Baptist Churches in the United States of America","Baptist","Baptist","Baptist","General Association of Regular Baptist Churches in the United States of America",1936
568,,"General Baptists","Baptist","Baptist","Baptist","General Baptists",1936
569,,"General Church of the New Jerusalem","Churches of the New Jerusalem","Spiritualist","Swedenborgian","General Church of the New Jerusalem",1936
570,,"General Conference of the Mennonite Church of North America","Mennonite","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite","General Conference of the Mennonite Church of North America",1936
571,,"General Convention of the New Jerusalem in the United States of America","Churches of the New Jerusalem","Spiritualist","Swedenborgian","General Convention of the New Jerusalem in the United States of America",1936
572,,"General Council of the Italian Pentecostal Assemblies of God","Italian bodies","Pentecostal","Pentecostal","General Council of the Italian Pentecostal Assemblies of God",1936
573,,"General Eldership of the Churches of God in North America","General Eldership of the Churches of God in North America",,"Pentecostal","General Eldership of the Churches of God in North America",1936
574,,"General Six Principle Baptists","Baptist","Baptist","Baptist","General Six Principle Baptists",1936
575,,"Greek Orthodox Church (Hellenic)","Eastern Orthodox Churches","Eastern Liturgical (Orthodox)","Orthodox","Greek Orthodox Church (Hellenic)",1936
576,,"Hephzibah Faith Missionary Association","Evangelistic associations","Other Groups","Holiness","Hephzibah Faith Missionary Association",1936
577,,"Holiness Church","Holiness Church","Holiness","Holiness","Holiness Church",1936
578,,"Holiness Methodist Church","Methodist","Holiness","Holiness","Holiness Methodist Church",1936
579,,"Holy Orthodox Church in America","Eastern Orthodox Churches","Eastern Liturgical (Orthodox)","Orthodox","Holy Orthodox Church in America",1936
580,,"House of the Lord","House of the Lord",,"Other Groups","House of the Lord",1936
581,,"Hutterian Brethren, Mennonites","Mennonite","Communal","Mennonite","Hutterian Brethren, Mennonites",1936
582,,"Icelandic Evangelical Lutheran Synod in North America","Lutheran","Lutheran","Lutheran","Icelandic Evangelical Lutheran Synod in North America",1936
583,,"Independent African Methodist Episcopal Church","Methodist","Methodist/Pietist","Methodist","Independent African Methodist Episcopal Church",1936
584,,"Independent Baptist Church of America","Baptist","Baptist","Baptist","Independent Baptist Church of America",1936
585,,"Independent Churches","Independent Churches","Other Groups","Other Groups","Independent Churches",1936
586,,"Independent Lutheran Congregations","Lutheran","Lutheran","Lutheran","Independent Lutheran Congregations",1936
587,,"Independent Negro Churches","Independent Negro Churches","Other Groups","Other Groups","Independent Negro Churches",1936
588,,"International Church of the Foursquare Gospel","International Church of the Foursquare Gospel","Pentecostal","Pentecostal","International Church of the Foursquare Gospel",1936
589,,"International Pentecostal Assemblies","Pentecostal","Pentecostal","Pentecostal","International Pentecostal Assemblies",1936
590,,"Jewish Congregations","Jewish Congregations","Judiasm","Jewish","Jewish Congregations",1936
591,,"Kodesh Church of Immanuel","Kodesh Church of Immanuel","Holiness","Holiness","Kodesh Church of Immanuel",1936
592,,"Krimmer Mennonite Brueder-Gemeinde","Mennonite","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite","Krimmer Mennonite Brueder-Gemeinde",1936
593,,"Liberal Catholic Church","Liberal Catholic Church","Other Groups","Other Groups","Liberal Catholic Church",1936
594,,"Life and Advent Union","Adventist","Adventist","Adventist","Life and Advent Union",1936
595,,"Lithuanian National Catholic Church of America","Lithuanian National Catholic Church of America","Western Liturgical (Catholicism)","Other Groups","Lithuanian National Catholic Church of America",1936
596,,"Lutheran Free Church","Lutheran","Lutheran","Lutheran","Lutheran Free Church",1936
597,,"Mennonite Brethren Church of North America","Mennonite","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite ","Mennonite Brethren Church of North America",1936
598,,"Mennonite Brethren in Christ","Mennonite","Holiness","Mennonite","Mennonite Brethren in Christ",1936
599,,"Mennonite Church","Mennonite","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite","Mennonite Church",1936
600,,"Mennonite Kleine Gemeinde","Mennonite","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite","Mennonite Kleine Gemeinde",1936
601,,"Methodist Episcopal Church","Methodist","Methodist/Pietist","Methodist","Methodist Episcopal Church",1936
602,,"Methodist Episcopal Church, South","Methodist","Methodist/Pietist","Methodist","Methodist Episcopal Church, South",1936
603,,"Methodist Protestant Church","Methodist","Methodist/Pietist","Methodist","Methodist Protestant Church",1936
604,,"Metropolitan Church Association","Evangelistic associations","Holiness","Holiness","Metropolitan Church Association",1936
605,,"Missionary Bands of the World","Evangelistic associations","Holiness","Holiness","Missionary Bands of the World",1936
606,,"Missionary Church Association","Evangelistic associations","Holiness","Holiness","Missionary Church Association",1936
607,,"Moravian Church in America","Moravian","Methodist/Pietist","Moravian","Moravian Church in America",1936
608,,"National Baptist Evangelical Life and Soul Saving Assembly of the United States of America","Baptist","Baptist","Baptist","National Baptist Evangelical Life and Soul Saving Assembly of the United States of America",1936
609,,"National David Spiritual Temple of Christ Church Union","National David Spiritual Temple of Christ Church Union","Pentecostal","Pentecostal","National David Spiritual Temple of Christ Church Union",1936
610,,"National Spiritual Alliance of the United States of America","Spiritualists","Spiritualist","Spiritualist","National Spiritual Alliance of the United States of America",1936
611,,"National Spiritualist Association","Spiritualists","Spiritualist","Spiritualist","National Spiritualist Association",1936
612,,"Negro Baptists","Baptist","Baptist","Baptist","Negro Baptists",1936
613,,"Negro Mission of the Synodical Conference","Lutheran","Lutheran","Lutheran","Negro Mission of the Synodical Conference",1936
614,,"New Apostolic Church","New Apostolic Church","Restoration","Restorationist","New Apostolic Church",1936
615,,"New Congregational Methodist Church","Methodist","Methodist/Pietist","Methodist","New Congregational Methodist Church",1936
616,,"North American Old Roman Catholic Church","Old Catholic Churches in America","Western Liturgical (Catholicism)","Old Catholic","North American Old Roman Catholic Church",1936
617,,"Northern Baptist Convention","Baptist","Baptist","Baptist","Northern Baptist Convention",1936
618,,"Norwegian and Danish Evangelical Free Church Association of North America","Scandinavian Evangelical","Methodist/Pietist","Pietist","Norwegian and Danish Evangelical Free Church Association of North America",1936
619,,"Norwegian Lutheran Church of America","Lutheran","Lutheran","Lutheran","Norwegian Lutheran Church of America",1936
620,,"Old Catholic Church in America","Old Catholic Churches in America","Western Liturgical (Catholicism)","Old Catholic","Old Catholic Church in America",1936
621,,"Old German Baptist Brethren (Old Order Dunkers)","Brethren, German Baptist (Dunkers)","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Anabaptists","Old German Baptist Brethren (Old Order Dunkers)",1936
622,,"Old Order Amish Mennonite Church","Mennonite","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite","Old Order Amish Mennonite Church",1936
623,,"Old Order Mennonite Church (Wisler)","Mennonite","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite","Old Order Mennonite Church (Wisler)",1936
624,,"Old Order or Yorker Brethren","Brethren, River","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite","Old Order or Yorker Brethren",1936
625,,"Orthodox Conservative Friends (Wilburite)","Friends","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Friends","Orthodox Conservative Friends (Wilburite)",1936
626,,"Pentecostal Assemblies of Jesus Christ","Pentecostal","Pentecostal","Pentecostal","Pentecostal Assemblies of Jesus Christ",1936
627,,"Pentecostal Assemblies of the World","Pentecostal","Pentecostal","Pentecostal","Pentecostal Assemblies of the World",1936
628,,"Pentecostal Church of God in America, Inc","Pentecostal","Pentecostal","Pentecostal","Pentecostal Church of God in America, Inc",1936
629,,"Pentecostal Fire-Baptized Holiness Church","Pentecostal","Pentecostal","Pentecostal","Pentecostal Fire-Baptized Holiness Church",1936
630,,"Pentecostal Holiness Church","Pentecostal","Pentecostal ","Pentecostal","Pentecostal Holiness Church",1936
631,,"Pilgrim Holiness Church","Pilgrim Holiness Church","Holiness ","Holiness","Pilgrim Holiness Church",1936
632,,"Pillar of Fire","Evangelistic associations","Holiness","Holiness","Pillar of Fire",1936
633,,"Plymouth Brethren I","Brethren, Plymouth","Independent Fundamentalism","Plymouth Brethren","Plymouth Brethren I",1936
634,,"Plymouth Brethren II","Brethren, Plymouth","Independent Fundamentalism","Plymouth Brethren","Plymouth Brethren II",1936
635,,"Plymouth Brethren III","Brethren, Plymouth","Independent Fundamentalism","Plymouth Brethren","Plymouth Brethren III",1936
636,,"Plymouth Brethren IV","Brethren, Plymouth","Independent Fundamentalism","Plymouth Brethren","Plymouth Brethren IV",1936
637,,"Plymouth Brethren V","Brethren, Plymouth","Independent Fundamentalism","Plymouth Brethren","Plymouth Brethren V",1936
638,,"Plymouth Brethren VI","Brethren, Plymouth","Independent Fundamentalism","Plymouth Brethren","Plymouth Brethren VI",1936
639,,"Plymouth Brethren VII","Brethren, Plymouth","Independent Fundamentalism","Plymouth Brethren","Plymouth Brethren VII",1936
640,,"Plymouth Brethren VIII","Brethren, Plymouth","Independent Fundamentalism","Plymouth Brethren","Plymouth Brethren VIII",1936
641,,"Polish National Catholic Church of America","Polish National Catholic Church of America","Western Liturgical (Catholicism)","Other Groups","Polish National Catholic Church of America",1936
642,,"Presbyterian Church in the United States","Presbyterian","Reformed/Presbyterian","Presbyterian","Presbyterian Church in the United States",1936
643,,"Presbyterian Church in the United States of America","Presbyterian","Reformed/Presbyterian","Presbyterian","Presbyterian Church in the United States of America",1936
644,,"Primitive Advent Christian Church","Adventist","Adventist","Adventist","Primitive Advent Christian Church",1936
645,,"Primitive Baptists","Baptist","Baptist","Baptist","Primitive Baptists",1936
646,,"Primitive Methodist Church in the United States of America","Methodist","Methodist/Pietist","Methodist","Primitive Methodist Church in the United States of America",1936
647,,"Progressive Spiritualist Church","Spiritualists","Spiritualist","Spiritualist","Progressive Spiritualist Church",1936
648,,"Protestant Episcopal Church","Protestant Episcopal Church","Anglicanism","Episcopalian","Protestant Episcopal Church",1936
649,,"Reformed Church in America","Reformed","Reformed/Presbyterian","Reformed","Reformed Church in America",1936
650,,"Reformed Episcopal Church","Reformed Episcopal Church","Reformed/Presbyterian","Reformed","Reformed Episcopal Church",1936
651,,"Reformed Mennonite Church","Mennonite","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite","Reformed Mennonite Church",1936
652,,"Reformed Methodist Church","Methodist","Methodist/Pietist","Methodist","Reformed Methodist Church",1936
653,,"Reformed Methodist Union Episcopal Church","Methodist","Methodist/Pietist","Methodist","Reformed Methodist Union Episcopal Church",1936
654,,"Reformed New Congregational Methodist Church","Methodist","Methodist/Pietist","Methodist","Reformed New Congregational Methodist Church",1936
655,,"Reformed Presbyterian Church in North America, General Synod","Presbyterian","Reformed/Presbyterian","Presbyterian","Reformed Presbyterian Church in North America, General Synod",1936
656,,"Reformed Zion Union Apostolic Church","Methodist","Methodist/Pietist","Methodist","Reformed Zion Union Apostolic Church",1936
657,,"Regular Baptists","Baptist","Baptist","Baptist","Regular Baptists",1936
658,,"Reorganized Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints","Latter Day Saints","Reorganized Church of Jesus Christ of Latter-day Saints",1936
659,,"Roman Catholic Church","Roman Catholic Church","Western Liturgical (Catholicism)","Catholic","Roman Catholic Church",1936
660,,"Roumanian Orthodox Church","Eastern Orthodox Churches","Eastern Liturgical (Orthodox)","Orthodox","Roumanian Orthodox Church",1936
661,,"Russian Orthodox Church","Eastern Orthodox Churches","Eastern Liiturgical (Orthodox)","Orthodox","Russian Orthodox Church",1936
662,,"Salvation Army","Salvation Army","Holiness","Holiness","Salvation Army",1936
663,,"Schwenkfelders","Schwenkfelders","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Other Groups","Schwenkfelders",1936
664,,"Separate Baptists","Baptist","Baptist","Baptist","Separate Baptists",1936
665,,"Serbian Orthodox Church","Eastern Orthodox Churches","Eastern Liturgical (Orthodox)","Orthodox","Serbian Orthodox Church",1936
666,,"Seventh Day Baptists","Baptist","Baptist","Baptist","Seventh Day Baptists",1936
667,,"Seventh Day Baptists (German, 1728)","Baptist","Baptist","Baptist","Seventh Day Baptists (German, 1728)",1936
668,,"Seventh-day Adventist Denomination","Adventist","Adventist","Adventist","Seventh-day Adventist Denomination",1936
669,,"Slovak Evangelical Lutheran Synod of the United States of America","Lutheran","Lutheran","Lutheran","Slovak Evangelical Lutheran Synod of the United States of America",1936
670,,"Society of Friends (Hicksite)","Friends","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Friends","Society of Friends (Hicksite)",1936
671,,"Society of Friends (Orthodox)","Friends","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Friends","Society of Friends (Orthodox)",1936
672,,"Southern Baptist Convention","Baptist","Baptist","Baptist","Southern Baptist Convention",1936
673,,"Stauffer Mennonite Church","Mennonite","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite","Stauffer Mennonite Church",1936
674,,"Synod of the Reformed Presbyterian Church of North America","Presbyterian","Reformed/Presbyterian","Presbyterian","Synod of the Reformed Presbyterian Church of North America",1936
675,,"Syrian Antiochian Orthodox Church","Eastern Orthodox Churches","Eastern Liturgical (Orthodox)","Orthodox","Syrian Antiochian Orthodox Church",1936
676,,"The (Original) Church of God","Churches of God","Pentecostal","Pentecostal","The (Original) Church of God",1936
677,,"The Brethren Church (Progressive Dunkers)","Brethren, German Baptist (Dunkers)","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Anabaptists","The Brethren Church (Progressive Dunkers)",1936
678,,"The Christian and Missionary Alliance","The Christian and Missionary Alliance","Holiness","Holiness","The Christian and Missionary Alliance",1936
679,,"The Church of Illumination","The Church of Illumination","Other Groups","Other Groups","The Church of Illumination",1936
680,,"The Church of Revelation","The Church of Revelation","Other Groups","Other Groups","The Church of Revelation",1936
681,,"The Evangelical Free Church of America","Scandinavian Evangelical ","Methodist/Pietist","Pietist","The Evangelical Free Church of America",1936
682,,"The Evangelical Mission Covenant Church of America","Scandinavian Evangelical ","Methodist/Pietist","Pietist","The Evangelical Mission Covenant Church of America",1936
683,,"The General Synod of the Associate Reformed Presbyterian Church","Presbyterian","Reformed/Presbyterian","Presbyterian","The General Synod of the Associate Reformed Presbyterian Church",1936
684,,"The House of David","The House of David","Adventist","Other Groups","The House of David",1936
685,,"The House of God, the Holy Church of the Living God, the Pillar and Ground of the Truth, House of Prayer for All People","The House of God, the Holy Church of the Living God, the Pillar and Ground of the Truth, House of Prayer for All People",,"Other Groups","The House of God, the Holy Church of the Living God, the Pillar and Ground of the Truth, House of Prayer for All People",1936
686,,"The Latter House of the Lord, Apostolic Faith","The Latter House of the Lord, Apostolic Faith","Pentecostal","Pentecostal","The Latter House of the Lord, Apostolic Faith",1936
687,,"The Mayan Temple","The Mayan Temple","Other Groups","Other Groups","The Mayan Temple",1936
688,,"The Orthodox Presbyterian Church","Presbyterian","Reformed/Presbyterian","Presbyterian","The Orthodox Presbyterian Church",1936
689,,"The Pentecostal Church, Inc.","Pentecostal","Pentecostal","Pentecostal","The Pentecostal Church, Inc.",1936
690,,"The Protestant Conference (Lutheran)","Lutheran","Lutheran","Lutheran","The Protestant Conference (Lutheran)",1936
691,,"The Synod of the Associate Presbyterian Church of North America","Presbyterian","Reformed/Presbyterian","Presbyterian","The Synod of the Associate Presbyterian Church of North America",1936
692,,"The Unorganized Italian Christian Churches of North America","Italian bodies",,"Pentecostal","The Unorganized Italian Christian Churches of North America",1936
693,,"The Volunteers of America","The Volunteers of Amerca","Holiness","Other Groups","The Volunteers of America",1936
694,,"Triumph the Church and Kingdom of God in Christ","Triumph the Church and Kingdom of God in Christ","Holiness","Pentecostal","Triumph the Church and Kingdom of God in Christ",1936
695,,"Two-Seed-in-the-Spirit Predestinarian Baptists","Baptist","Baptist","Baptist","Two-Seed-in-the-Spirit Predestinarian Baptists",1936
